head,tail,relation
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,意大利,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,意大利,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,法国,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,进口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,法国,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,中国,出口
油籽和含油水果；杂粮、种子和水果、工业或药用植物；草料,印度,进口
有机化学品,中国,出口
有机化学品,印度,进口
有机化学品,中国,进口
有机化学品,韩国,出口
有机化学品,中国,出口
有机化学品,美国,进口
有机化学品,中国,进口
有机化学品,日本,出口
有机化学品,中国,进口
有机化学品,美国,出口
有机化学品,中国,出口
有机化学品,韩国,进口
有机化学品,中国,出口
有机化学品,日本,进口
有机化学品,中国,出口
有机化学品,巴西,进口
有机化学品,中国,出口
有机化学品,德国,进口
有机化学品,中国,进口
有机化学品,印度,出口
有机化学品,中国,出口
有机化学品,荷兰,进口
有机化学品,中国,进口
有机化学品,德国,出口
有机化学品,中国,出口
有机化学品,俄罗斯,进口
有机化学品,中国,出口
有机化学品,意大利,进口
有机化学品,中国,出口
有机化学品,英国,进口
有机化学品,中国,进口
有机化学品,法国,出口
有机化学品,中国,出口
有机化学品,澳大利亚,进口
有机化学品,中国,出口
有机化学品,法国,进口
有机化学品,中国,进口
有机化学品,荷兰,出口
有机化学品,中国,进口
有机化学品,英国,出口
有机化学品,中国,进口
有机化学品,意大利,出口
有机化学品,中国,进口
有机化学品,俄罗斯,出口
有机化学品,中国,进口
有机化学品,巴西,出口
有机化学品,中国,进口
有机化学品,澳大利亚,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,俄罗斯,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,日本,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,韩国,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,美国,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,印度,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,美国,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,澳大利亚,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,德国,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,英国,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,日本,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,法国,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,俄罗斯,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,荷兰,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,韩国,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,澳大利亚,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,意大利,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,法国,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,荷兰,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,巴西,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,英国,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,德国,出口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,中国,进口
鱼类、甲壳动物、软体动物和其他水生无脊椎动物,巴西,出口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,中国,进口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,荷兰,出口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,中国,出口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,荷兰,进口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,中国,出口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,韩国,进口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,中国,出口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,日本,进口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,中国,进口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,澳大利亚,出口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,中国,出口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,澳大利亚,进口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,中国,进口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,德国,出口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,中国,进口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,日本,出口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,中国,进口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,俄罗斯,出口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,中国,出口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,美国,进口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,中国,出口
制粉工业产品；麦芽、淀粉、菊糖、小麦面筋,印度,进口
